sr. no.,Crop,Agro-Climatic Zone,Soil Type,Rainfall,Tempreture,humidity_range_percent,season_supported,risk_sensitivity,duration_days,sowing_start_week,sowing_end_week,days_to_harvest,peak_water_week
1,Soybean,Malwa Plateau,Medium deep black,800-1200,25-32,50-80,Kharif,"Heat: High, Drought: Medium, Flood: Medium",90-120,24,27,105,31
2,Wheat,Vindhya Plateau,Medium to deep black,1200-1400,15-30,25-50,Rabi,"Heat: High, Drought: Medium",110-145,43,47,130,4
3,Rice,Chhattisgarh Plains,Red and yellow,1200-1600,25-35,70-90,Kharif,"Drought: High, Flood: Low",75-145,24,28,125,34
4,Maize,Jhabua Hills,Medium deep black,800-1000,21-27,50-80,Kharif,"Heat: High, Flood: Medium, Drought: Medium",100,24,27,100,31
5,Cotton,Nimar Plains,Medium black,800-1000,21-43,40-60,Kharif,"Drought: Medium, Flood: High",180-240,22,26,190,33
6,Jowar,Gird Region,Alluvial,800-1000,15-40,45-60,Kharif,Drought: Low,120-150,23,27,120,30
7,Gram,Vindhya Plateau,Medium black,1200-1400,20-25,30-50,Rabi,Drought: Low,120-150,42,46,125,2
8,Sugarcane,Central Narmada Valley,Deep black,1200-1600,28-32,70-90,Annual,Drought: High,360-540,7,13,420,24
9,Mustard,Gird Region,Alluvial,800-1000,18-25,35-55,Rabi,Frost: High,120-150,41,45,125,1
10,Groundnut,Nimar Plains,Medium black,800-1000,25-35,50-70,Kharif,Drought: Medium,100-120,24,28,110,31
11,Moong,Malwa Plateau,Medium deep black,800-1200,25-35,50-75,Kharif/Zaid,,60-90,24|8,27|13,70,29|14
12,Urad,Jhabua Hills,Medium deep black,800-1000,25-35,60-80,Kharif,,60-90,24,28,80,30
13,Lentil,Kymore Plateau,Medium black and red mixed,1000-1400,18-30,40-60,Rabi,Drought: Medium,120-150,42,46,125,2
14,Barley,Bundelkhand Region,Medium red and medium black,800-1400,12-32,40-60,Rabi,Drought: Low,120-150,43,47,130,3
15,Bajra,Gird Region,Alluvial,800-1000,15-40,40-60,Kharif,Drought: Low,90-120,23,27,100,29
16,Sesame (Til),Bundelkhand Region,Medium red and medium black,800-1400,20-35,45-65,Kharif,"Waterlogging: High, Hail: High",80-100,24,28,90,29
17,Sunflower,Central Narmada Valley,Deep black,1200-1600,20-30,50-70,Rabi/Kharif,,90-110,42|24,46|28,100,2|31
18,Arhar (Tur),Vindhya Plateau,Medium black,1200-1400,20-40,50-70,Kharif,Drought: Low,150-180,24,28,165,33
19,Pea,Kymore Plateau,Medium black and red mixed,1000-1400,15-25,50-70,Rabi,,90-120,42,45,105,1
20,Kodo-Kutki,Northern Hill Region,Red black yellow soil,1200-1600,26-29,50-80,Kharif,Drought: Low,100-120,24,27,110,30
21,Watermelon,Central Narmada Valley,Sandy loam to alluvial,500-700,24-32,40-60,Zaid,"Flood: High, Heat: Medium",80-100,7,11,90,14
